,Repository Name,Type,Comment
7,FarjaalAhmad/django_bgRemoverML,yes,
9,aws/amazon-sagemaker-examples,yes,
11,TuSimple/RangeDet,yes,
12,aws-samples/aws-machine-learning-university-accelerated-nlp,yes,
13,aws-samples/aws-machine-learning-university-accelerated-tab,yes,
21,eagle705/pytorch-bert-crf-ner,yes,
26,awslabs/handwritten-text-recognition-for-apache-mxnet,yes,
27,awslabs/gluon-ts,yes,
32,jiwidi/time-series-forecasting-with-python,yes,
35,firmai/atspy,yes,
36,openvinotoolkit/open_model_zoo,yes,
37,SKTBrain/KoBERT,yes,
38,QueensGambit/CrazyAra,yes,
42,osmr/imgclsmob,yes,
43,apple/turicreate,yes,
48,practical-nlp/practical-nlp-code,yes,
51,ray-project/tutorial,yes,
56,philipperemy/n-beats,yes,
70,pytorch/tutorials,yes,
71,neuralmind-ai/portuguese-bert,yes,no
75,pytorch/text,yes,
77,Erlemar/pytorch_tempest,yes,
95,NVIDIA/DeepLearningExamples,yes,
118,titu1994/Neural-Style-Transfer,yes,
120,AntonMu/TrainYourOwnYOLO,yes,
122,maximedrn/opensea-automatic-bulk-upload-and-sale,yes,
126,GoogleCloudPlatform/ai-platform-samples,yes,
139,isl-org/OpenBot,yes,
148,alextran1502/immich,yes,
149,kubeflow/example-seldon,yes,
151,Tarteel-io/tarteel-ml,yes,
154,FarjaalAhmad/django_bgRemoverML,yes,
158,google-research/frame-interpolation,yes,
167,IBM/tensorflow-hangul-recognition,yes,
185,kevinhughes27/TensorKart,yes,
191,LukasRinder/normalizing-flows,yes,
